EventName,EventUrl
"SplunkLive! Hamburg: Tuesday, May 6, 2014",http://live.splunk.com/GER_May2014
"SplunkLive! Munich: Wednesday, May 7, 2014",http://live.splunk.com/GER_May2014
"SplunkLive! Washington DC: Wednesday, May 7, 2014",http://live.splunk.com/washingtondc
"SplunkLive! New York: Thursday, May 15, 2014",http://live.splunk.com/newyork
"SplunkLive! Seattle: Tuesday, May 20, 2014",http://live.splunk.com/seattle
"SplunkLive! London: May 21, 2014",http://live.splunk.com/london2014
"SplunkLive! Phoenix: Thursday, May 22, 2014",http://live.splunk.com/phoenix
"SplunkLive! Calgary: Tuesday, May 27, 2014",http://live.splunk.com/calgary

"SplunkLive! Salt Lake City: Thursday, June 12, 2014",http://live.splunk.com/saltlakecity
"SplunkLive! Boston: Thursday, June 19, 2014",http://live.splunk.com/boston
"SplunkLive! Toronto: Tuesday, June 24, 2014",http://live.splunk.com/toronto
"SplunkLive! Houston: Tuesday, July 15, 2014",http://live.splunk.com/houston
"SplunkLive! San Francisco: Tuesday, August 12, 2014",http://live.splunk.com/sanfrancisco
"SplunkLive! Salt Lake City: Thursday, June 12, 2014",http://live.splunk.com/saltlakecity
"SplunkLive! Boston: Thursday, June 19, 2014",http://live.splunk.com/boston
"SplunkLive! Toronto: Tuesday, June 24, 2014",http://live.splunk.com/toronto
"SplunkLive! Houston: Tuesday, July 15, 2014",http://live.splunk.com/houston
"SplunkLive! San Francisco: Tuesday, August 12, 2014",http://live.splunk.com/sanfrancisco
